ï»¿Institution,Team Number,City,State/Province,Country,Advisor,Problem,Ranking
Beihang Univeristy,32080,Beijing,,China,Suopeng Zhang,A,Successful Participant
North China Electric Power Univercity,32081,Changping,Beijing,China,Anjia Mao,A,Successful Participant
Sichuan University,32082,Chengdu,Sichuan,China,Jie Zhou,B,Successful Participant
"Shandong University, Shandong, China",32084,Jinan,Shandong,China,Shuxiang Huang,A,Honorable Mention
Sun Yat-sen University,32085,GuangZhou,GuangDong,China,Lin Zhang,A,Successful Participant
BeiJing University Of Post And Telecommunication,32086,Beijing,Beijing,China,Hua Tian,A,Successful Participant
"South China Normal University, Guangzhou, P.R. China",32087,Guangzhou,Guangdong,China,Liuqiang Zhong,D,Successful Participant
Shanghai University of Finance and Economics,32088,Shanghai,Shanghai,China,Chengdong Dong,A,Successful Participant
Nankai University,32089,Tianjin,,China,Hongmei Zhao,B,Meritorious
BeiJing University Of Post And Telecommunication,32090,BEIJING,BEIJING,China,ZHENZHEN CHEN,B,Successful Participant
Shanghai University of Electric Power,32091,Shanghai,,China,Yuan Sun,C,Successful Participant
Sun Yat-sen University,32092,GuangZhou,GuangDong,China,Lin Zhang,A,Honorable Mention
Huazhong Agricultural University,32094,Wuhan,Hubei,China,Jinying Tan,B,Successful Participant
Southwest Jiaotong University,32095,CHENGDU,SICHUAN,China,Ping He,A,Successful Participant
BNU-HKBU United International College,32096,Zhuhai,Guangdong,China,Ming Ying Lisa Chu,A,Honorable Mention
Tianjin University of Commerce,32097,Tianjin,China Mainland,China,JINGJIE LI,A,Successful Participant
High School Affiliated to People's University (RDFZ),32098,Beijing,,China,Andriy Bolyachevets,D,Successful Participant
Huazhong Agricultural University,32099,Wuhan,Hubei,China,Hong Fang,D,Honorable Mention
Huazhong Agricultural University,32100,Wuhan,Hubei,China,Luwei Ding,B,Successful Participant
Huazhong Agricultural University,32101,Wuhan,Hubei,China,Zhi Li,A,Successful Participant
Huazhong Agricultural University,32102,Wuhan,Hubei,China,Zhibin Pan,D,Finalist
Huazhong Agricultural University,32103,Wuhan,Hubei,China,Yanling Xu,D,Meritorious
Huazhong Agricultural University,32104,Wuhan,Hubei,China,Hong Fang,A,Successful Participant
Huazhong Agricultural University,32105,Wuhan,Hubei,China,Zhi Li,A,Successful Participant
Huazhong Agricultural University,32106,Wuhan,Hubei,China,Luwei Ding,C,Honorable Mention
Huazhong Agricultural University,32107,Wuhan,Hubei,China,Feng Liu,A,Meritorious
Southwestern University of Finance and Economics,32108,Chengdu,Sichuan,China,Yipin Zhao,D,Successful Participant
Huazhong Agriculture University,32109,WuHan,Hubei,China,xin long Ren,D,Meritorious
Huazhong Agricultural University,32110,Wuhan,Hubei,China,Xuehai Hu,A,Successful Participant
Huazhong Agricultural University,32111,Wuhan,Hubei,China,Jinying Tan,C,Honorable Mention
Huazhong Agricultural University,32112,Wuhan,Hubei,China,Zhimin Hou,A,Honorable Mention
Huazhong Agricultural University,32113,Wuhan,Hubei,China,Feng Liu,A,Successful Participant
Beihang Univeristy,32114,Beijing,Beijing,China,Haiyang Huang,A,Successful Participant
shenyang jianzhu university,32115,shenyang,Liaoning,China,Qicheng Xu,A,Successful Participant
shenyang jianzhu university,32116,shenyang,liaoning,China,Qicheng Xu,A,Successful Participant
shenyang jianzhu university,32118,shenyang,liaoning,China,ping sun,A,Successful Participant
shenyang jianzhu university,32119,shenyang,liaoning,China,Zhengyu Li,A,Successful Participant
shenyang jianzhu university,32120,shenyang,liaoning,China,Housheng Xu,A,Successful Participant
shenyang jianzhu university,32121,shenyang,liaoning,China,Yanling Sun,A,Successful Participant
shenyang jianzhu university,32122,shenyang,liaoning,China,Youlin Ye,A,Successful Participant
shenyang jianzhu university,32123,shenyang,liaoning,China,Fusheng Kou,A,Successful Participant
shenyang jianzhu university,32124,shenyang,liaoning,China,Xin Jing,A,Successful Participant
shenyang jianzhu university,32125,shenyang,liaoning,China,Hongmei Yan,A,Successful Participant
shenyang jianzhu university,32126,shenyang,liaoning,China,Changchun Sun,A,Successful Participant
Idaho State University,32127,Pocatello,ID,USA,DeWayne R Derryberry,B,Successful Participant
Idaho State University,32128,Pocatello,ID,USA,DeWayne R Derryberry,B,Successful Participant
Huazhong Agricultural University,32129,Wuhan,Hubei,China,Qiang Zhu,B,Successful Participant
Huazhong Agricultural University,32130,Wuhan,Hubei,China,Qiang Zhu,A,Honorable Mention
University of Science and Technology of China,32131,Hefei,Anhui,China,Kai Xing,A,Honorable Mention
Nankai University,32132,Tianjin,Tianjin,China,Liuling Li,A,Successful Participant
Nankai University,32133,Tianjin Province,,China,Chao Wang,B,Meritorious
Northwestern Polytechnical University,32134,Xi'an,Shaanxi,China,Wei Lin,C,Honorable Mention
Northwestern Polytechnical University,32135,Xi'an,Shaanxi,China,Xiaole Yue,C,Meritorious
Northwestern Polytechnical University,32136,Xi'an,Shaanxi,China,Xiao Huayong,C,Meritorious
Nankai University,32137,Tianjin,,China,Xingwei Wang,B,Successful Participant
Northwestern Polytechnical University,32138,Xi'an,Shaanxi,China,Quanyi Lv,C,Honorable Mention
Northwestern Polytechnical University,32139,Xi'an,Shaanxi,China,Yong Wang,C,Honorable Mention
Northwestern Polytechnical University,32140,Xi'an,Shaanxi,China,Junqiang Han,C,Honorable Mention
Northwestern Polytechnical University,32141,Xi'an,Shaanxi,China,Lulu Pan,D,Meritorious
Northwestern Polytechnical University,32142,Xi'an,Shaanxi,China,Dongshuang Hou,D,Meritorious
Northwestern Polytechnical University,32143,Xi'an,Shaanxi,China,Genjiu Xu,D,Honorable Mention
Northwestern Polytechnical University,32144,Xi'an,Shaanxi,China,Youming Lei,D,Meritorious
Northwestern Polytechnical University,32145,Xi'an,Shaanxi,China,Ying Zhang,D,Meritorious
Northwestern Polytechnical University,32146,Xi'an,Shaanxi,China,Rong Ma,D,Finalist
Northwestern Polytechnical University,32147,Xi'an,Shaanxi,China,Li Wang,D,Meritorious
Northwestern Polytechnical University,32148,Xi'an,Shaanxi,China,Bingchang Zhou,C,Finalist
Northwestern Polytechnical University,32149,Xi'an,Shaanxi,China,Liang Wang,A,Honorable Mention
Northwestern Polytechnical University,32150,Xi'an,Shaanxi,China,Ligong Wang,A,Outstanding Winner
Northwestern Polytechnical University,32151,Xi'an,Shaanxi,China,Weidong Yan,A,Honorable Mention
Northwestern Polytechnical University,32152,Xi'an,Shaanxi,China,Xuewei Cui,D,Meritorious
Northwestern Polytechnical University,32153,Xi'an,Shaanxi,China,Xiaohong An,A,Honorable Mention
Northwestern Polytechnical University,32154,Xi'an,Shaanxi,China,Mei Yu,B,Meritorious
Northwestern Polytechnical University,32155,Xi'an,Shaanxi,China,Yaning Tang,A,Successful Participant
Northwestern Polytechnical University,32156,Xi'an,Shaanxi,China,Xiaodong Wang,A,Honorable Mention
Northwestern Polytechnical University,32157,Xi'an,Shaanxi,China,Junfeng Zhao,B,Successful Participant
Northwestern Polytechnical University,32158,Xi'an,Shaanxi,China,Hongwei She,B,Successful Participant
Northwestern Polytechnical University,32159,Xi'an,Shaanxi,China,Zhenhai Wang,A,Successful Participant
Northwestern Polytechnical University,32160,Xi'an,Shaanxi,China,Haibo Wu,B,Honorable Mention
Huazhong Agricultural University,32161,Wuhan,Hubei,China,XiaoYin Wang,A,Successful Participant
Huazhong Agricultural University,32162,Wuhan,Hubei,China,Yanling Xu,A,Successful Participant
Huazhong Agriculture University,32163,WuHan,Hubei,China,xin long Ren,B,Honorable Mention
Huazhong Agricultural University,32164,Wuhan,Hubei,China,XiaoYin Wang,D,Honorable Mention
Huazhong Agricultural University,32165,Wuhan,Hubei,China,Zhimin Hou,B,Successful Participant
Tongji University,32166,shanghai,Shanghai,China,Wenhao Zhang,A,Successful Participant
SUN YAT-SEN UNIVERSITY,32167,GUANG ZHOU,,China,XIAOLONG JIANG,A,Successful Participant
Shijiazhuang Tiedao University,32169,Shijiazhuang,Hebei,China,Baocai Zhang,A,Successful Participant
Shijiazhuang Tiedao University,32170,Shijiazhuang,Hebei,China,Baocai Zhang,A,Successful Participant
Tongji University,32171,Shanghai,Shanghai,China,Meisong Tong,B,Successful Participant
Wuhan University,32172,Wuhan,Hubei,China,HENGXING LIU,D,Meritorious
Huazhong Agricultural University,32173,Wuhan,Hubei,China,Zhibin Pan,D,Successful Participant
Huazhong Agricultural University,32174,Wuhan,Hubei,China,Lingli Sun,D,Meritorious
Fudan University,32175,Shanghai,,China,Zhijie Cai,A,Successful Participant
Fudan University,32176,Shanghai,,China,Zhijie Cai,B,Successful Participant
Fudan University,32177,Shanghai,,China,Yuan Cao,A,Successful Participant
Shanxi University,32178,Taiyuan,Shanxi,China,Qing-Kui Li,B,Successful Participant
Sun Yat-Sen University,32179,Guangzhou,Guangdong,China,Yanhui Guan,C,Meritorious
